n;ID;timestamp;agent.type;client.ip;client.packets;client.port;destination.port;host.ip;source.ip;event.start;host.name;network.bytes;process.pid;server.ip;destination.ip;Prioridad;Clasificacion;Bloque
230;T0230;Dec 3  2022 @ 03:07:04.728;RH00001;auditbeat;192.168.109.129;1;32889;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:59.494;charlyhost;325B;789;192.168.109.2;2;No critico;Bloque 626
231;T0231;Dec 3  2022 @ 03:07:23.186;RH00001;auditbeat;192.168.109.129;1;56544;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:19.182;charlyhost;249B;789;192.168.109.2;1;Critico;Bloque 118
232;T0232;Dec 3  2022 @ 03:07:22.729;RH00001;auditbeat;127.0.0.1;2;49866;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.208;charlyhost;116B;4750;127.0.0.1;2;No critico;Bloque 627
233;T0233;Dec 3  2022 @ 03:07:22.728;RH00001;auditbeat;127.0.0.1;4;49866;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.208;charlyhost;288B;19341;127.0.0.1;1;Critico;Bloque 119
234;T0234;Dec 3  2022 @ 03:07:22.728;RH00001;auditbeat;192.168.109.129;2;43372;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:52.692;charlyhost;198B;19341;13.227.200.105;2;No critico;Bloque 628
235;T0235;Dec 3  2022 @ 03:07:22.728;RH00001;auditbeat;192.168.109.129;2;57816;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:51.691;charlyhost;198B;19341;152.199.24.163;2;No critico;Bloque 629
236;T0236;Dec 3  2022 @ 03:07:19.727;RH00001;auditbeat;127.0.0.1;2;55992;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:13.835;charlyhost;771B;27090;127.0.0.53;1;Critico;Bloque 120
237;T0237;Dec 3  2022 @ 03:07:19.727;RH00001;auditbeat;192.168.109.129;1;45708;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:13.874;charlyhost;287B;789;192.168.109.2;2;No critico;Bloque 630
238;T0238;Dec 3  2022 @ 03:07:19.727;RH00001;auditbeat;192.168.109.129;1;50967;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:13.836;charlyhost;402B;789;192.168.109.2;2;No critico;Bloque 631
239;T0239;Dec 3  2022 @ 03:07:19.727;RH00001;auditbeat;192.168.109.129;1;55596;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:13.836;charlyhost;325B;789;192.168.109.2;2;No critico;Bloque 632
240;T0240;Dec 3  2022 @ 03:07:18.727;RH00001;auditbeat;127.0.0.1;1;56504;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.832;charlyhost;80B;27090;127.0.0.1;2;No critico;Bloque 633
241;T0241;Dec 3  2022 @ 03:07:18.727;RH00001;auditbeat;127.0.0.1;1;56502;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.832;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 121
242;T0242;Dec 3  2022 @ 03:07:18.727;RH00001;auditbeat;127.0.0.1;1;56486;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.829;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 122
243;T0243;Dec 3  2022 @ 03:07:18.727;RH00001;auditbeat;127.0.0.1;1;56478;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.827;charlyhost;80B;27090;127.0.0.1;2;No critico;Bloque 634
244;T0244;Dec 3  2022 @ 03:07:18.727;RH00001;auditbeat;127.0.0.1;1;56476;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.825;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 123
245;T0245;Dec 3  2022 @ 03:07:12.840;RH00001;auditbeat;192.168.109.129;1;58456;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.249;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 124
246;T0246;Dec 3  2022 @ 03:07:12.839;RH00001;auditbeat;127.0.0.1;1;52508;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.257;charlyhost;80B;27090;127.0.0.1;2;No critico;Bloque 635
247;T0247;Dec 3  2022 @ 03:07:12.837;RH00001;auditbeat;127.0.0.1;1;56460;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.824;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 125
248;T0248;Dec 3  2022 @ 03:07:12.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27090;-;1;Critico;Bloque 126
249;T0249;Dec 3  2022 @ 03:07:12.323;RH00001;auditbeat;192.168.109.129;1;58418;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:09.247;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 127
250;T0250;Dec 3  2022 @ 03:07:12.269;RH00001;auditbeat;192.168.109.129;14;45578;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:59.571;charlyhost;15.8KB;27069;35.193.143.25;1;Critico;Bloque 128
251;T0251;Dec 3  2022 @ 03:07:09.258;RH00001;auditbeat;127.0.0.1;1;54806;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:08.491;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 636
252;T0252;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;58428;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.248;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 129
253;T0253;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;58426;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.248;charlyhost;60B;27090;169.254.169.254;2;No critico;Bloque 637
254;T0254;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;58450;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.248;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 130
255;T0255;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;58464;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.249;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 131
256;T0256;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;52336;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.249;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 132
257;T0257;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;1;58466;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:12.249;charlyhost;60B;27090;169.254.169.254;1;Critico;Bloque 133
258;T0258;Dec 3  2022 @ 03:07:17.728;RH00001;auditbeat;192.168.109.129;2;34254;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:47.689;charlyhost;198B;19341;104.18.101.194;2;No critico;Bloque 638
259;T0259;Dec 3  2022 @ 03:07:16.728;RH00001;auditbeat;192.168.109.129;2;49602;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:45.687;charlyhost;198B;19341;34.102.187.140;1;Critico;Bloque 134
260;T0260;Dec 3  2022 @ 03:07:15.727;RH00001;auditbeat;127.0.0.1;2;58284;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:45.188;charlyhost;771B;27042;127.0.0.53;1;Critico;Bloque 135
261;T0261;Dec 3  2022 @ 03:07:14.727;RH00001;auditbeat;127.0.0.1;18;40124;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:57.972;charlyhost;13.8KB;25357;127.0.0.1;1;Critico;Bloque 136
262;T0262;Dec 3  2022 @ 03:07:14.727;RH00001;auditbeat;127.0.0.1;19;40124;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:57.972;charlyhost;14KB;27069;127.0.0.1;2;No critico;Bloque 639
263;T0263;Dec 3  2022 @ 03:07:14.727;RH00001;auditbeat;192.168.109.129;2;57824;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:43.683;charlyhost;198B;19341;152.199.24.163;2;No critico;Bloque 640
264;T0264;Dec 3  2022 @ 03:07:13.727;RH00001;auditbeat;127.0.0.1;1;54810;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:08.500;charlyhost;80B;27069;127.0.0.1;1;Critico;Bloque 137
265;T0265;Dec 3  2022 @ 03:07:03.729;RH00001;auditbeat;127.0.0.1;1;55462;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.497;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 641
266;T0266;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;127.0.0.1;1;55438;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.490;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 642
267;T0267;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;127.0.0.1;1;55422;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.488;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 643
268;T0268;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;127.0.0.1;1;55434;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.489;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 644
269;T0269;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53404;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.936;charlyhost;60B;27069;169.254.169.254;1;Critico;Bloque 138
270;T0270;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53406;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.936;charlyhost;60B;27069;169.254.169.254;2;No critico;Bloque 645
271;T0271;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53436;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.937;charlyhost;60B;27069;169.254.169.254;1;Critico;Bloque 139
272;T0272;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53446;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.937;charlyhost;60B;27069;169.254.169.254;2;No critico;Bloque 646
273;T0273;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53422;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.936;charlyhost;60B;27069;169.254.169.254;2;No critico;Bloque 647
274;T0274;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;192.168.109.129;1;53448;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.937;charlyhost;60B;27069;169.254.169.254;2;No critico;Bloque 648
275;T0275;Dec 3  2022 @ 03:07:03.728;RH00001;auditbeat;127.0.0.1;1;45466;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:57.943;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 649
276;T0276;Dec 3  2022 @ 03:07:03.727;RH00001;auditbeat;192.168.109.129;2;58080;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:33.678;charlyhost;198B;19341;64.233.186.94;1;Critico;Bloque 140
277;T0277;Dec 3  2022 @ 03:07:03.727;RH00001;auditbeat;192.168.109.129;2;57278;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:32.676;charlyhost;198B;19341;34.120.208.123;1;Critico;Bloque 141
278;T0278;Dec 3  2022 @ 03:07:02.782;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27069;-;2;No critico;Bloque 650
279;T0279;Dec 3  2022 @ 03:07:02.727;RH00001;auditbeat;192.168.109.129;2;51780;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:32.676;charlyhost;198B;19341;64.233.186.104;1;Critico;Bloque 142
280;T0280;Dec 3  2022 @ 03:07:01.727;RH00001;auditbeat;127.0.0.1;2;36220;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:30.835;charlyhost;771B;27029;127.0.0.53;1;Critico;Bloque 143
281;T0281;Dec 3  2022 @ 03:06:59.727;RH00001;auditbeat;127.0.0.1;17;33230;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:43.663;charlyhost;13.8KB;25357;127.0.0.1;2;No critico;Bloque 651
282;T0282;Dec 3  2022 @ 03:06:59.727;RH00001;auditbeat;192.168.109.129;14;43504;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:45.263;charlyhost;15.8KB;27042;35.193.143.25;1;Critico;Bloque 144
283;T0283;Dec 3  2022 @ 03:06:59.727;RH00001;auditbeat;127.0.0.1;18;33230;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:43.662;charlyhost;13.9KB;27042;127.0.0.1;2;No critico;Bloque 652
284;T0284;Dec 3  2022 @ 03:06:59.727;RH00001;auditbeat;127.0.0.1;1;55412;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:54.188;charlyhost;80B;27042;127.0.0.1;1;Critico;Bloque 145
285;T0285;Dec 3  2022 @ 03:06:59.727;RH00001;auditbeat;127.0.0.1;1;55404;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:54.188;charlyhost;80B;27042;127.0.0.1;2;No critico;Bloque 653
286;T0286;Dec 3  2022 @ 03:06:59.582;RH00001;auditbeat;127.0.0.1;1;55454;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.495;charlyhost;80B;27069;127.0.0.1;1;Critico;Bloque 146
287;T0287;Dec 3  2022 @ 03:06:58.508;RH00001;auditbeat;127.0.0.1;1;55448;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:58.493;charlyhost;80B;27069;127.0.0.1;2;No critico;Bloque 654
288;T0288;Dec 3  2022 @ 03:06:58.506;RH00001;auditbeat;192.168.109.129;1;53388;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:54.932;charlyhost;60B;27069;169.254.169.254;2;No critico;Bloque 655
289;T0289;Dec 3  2022 @ 03:06:58.499;RH00001;auditbeat;192.168.109.129;1;35948;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:06:57.938;charlyhost;60B;27069;169.254.169.254;1;Critico;Bloque 147
290;T0290;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;3;50078;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.216;charlyhost;243B;19341;172.217.192.138;1;Critico;Bloque 148
291;T0291;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;127.0.0.1;2;34503;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:28.145;charlyhost;771B;27118;127.0.0.53;2;No critico;Bloque 656
292;T0292;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;1;41607;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.183;charlyhost;287B;789;192.168.109.2;1;Critico;Bloque 149
293;T0293;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;3;37524;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.215;charlyhost;243B;19341;172.217.192.157;1;Critico;Bloque 150
294;T0294;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;3;33908;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.216;charlyhost;243B;19341;64.233.190.102;2;No critico;Bloque 657
295;T0295;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;1;33860;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.146;charlyhost;402B;789;192.168.109.2;2;No critico;Bloque 658
296;T0296;Dec 3  2022 @ 03:07:33.727;RH00001;auditbeat;192.168.109.129;1;33424;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:28.146;charlyhost;325B;789;192.168.109.2;1;Critico;Bloque 151
297;T0297;Dec 3  2022 @ 03:07:32.780;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27118;-;2;No critico;Bloque 659
298;T0298;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35326;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.148;charlyhost;80B;27118;127.0.0.1;2;No critico;Bloque 660
299;T0299;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35324;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.146;charlyhost;80B;27118;127.0.0.1;2;No critico;Bloque 661
300;T0300;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35316;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.144;charlyhost;80B;27118;127.0.0.1;1;Critico;Bloque 152
301;T0301;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35310;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.143;charlyhost;80B;27118;127.0.0.1;1;Critico;Bloque 153
302;T0302;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35278;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.141;charlyhost;80B;27118;127.0.0.1;1;Critico;Bloque 154
303;T0303;Dec 3  2022 @ 03:07:32.728;RH00001;auditbeat;127.0.0.1;1;35280;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:27.141;charlyhost;80B;27118;127.0.0.1;2;No critico;Bloque 662
304;T0304;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;49038;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.588;charlyhost;60B;27118;169.254.169.254;1;Critico;Bloque 155
305;T0305;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;49028;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.588;charlyhost;60B;27118;169.254.169.254;1;Critico;Bloque 156
306;T0306;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;49030;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.588;charlyhost;60B;27118;169.254.169.254;1;Critico;Bloque 157
307;T0307;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;53650;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.588;charlyhost;60B;27118;169.254.169.254;1;Critico;Bloque 158
308;T0308;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;49032;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.588;charlyhost;60B;27118;169.254.169.254;1;Critico;Bloque 159
309;T0309;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;192.168.109.129;1;49052;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.589;charlyhost;60B;27118;169.254.169.254;2;No critico;Bloque 663
310;T0310;Dec 3  2022 @ 03:07:31.728;RH00001;auditbeat;127.0.0.1;1;48812;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:26.595;charlyhost;80B;27118;127.0.0.1;1;Critico;Bloque 160
311;T0311;Dec 3  2022 @ 03:07:31.727;RH00001;auditbeat;192.168.109.129;1;49010;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:23.581;charlyhost;60B;27118;169.254.169.254;2;No critico;Bloque 664
312;T0312;Dec 3  2022 @ 03:07:31.727;RH00001;auditbeat;192.168.109.129;3;57278;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.213;charlyhost;243B;19341;34.120.208.123;1;Critico;Bloque 161
313;T0313;Dec 3  2022 @ 03:07:31.727;RH00001;auditbeat;192.168.109.129;3;58080;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:26.212;charlyhost;243B;19341;64.233.186.94;2;No critico;Bloque 665
314;T0314;Dec 3  2022 @ 03:07:30.728;RH00001;auditbeat;192.168.109.129;3;51780;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:25.211;charlyhost;243B;19341;64.233.186.104;2;No critico;Bloque 666
315;T0315;Dec 3  2022 @ 03:07:29.728;RH00001;auditbeat;127.0.0.1;2;47584;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:59.493;charlyhost;771B;27069;127.0.0.53;2;No critico;Bloque 667
316;T0316;Dec 3  2022 @ 03:07:28.727;RH00001;auditbeat;127.0.0.1;16;52962;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.309;charlyhost;13.7KB;25357;127.0.0.1;1;Critico;Bloque 162
317;T0317;Dec 3  2022 @ 03:07:28.727;RH00001;auditbeat;127.0.0.1;17;52962;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:12.309;charlyhost;13.8KB;27090;127.0.0.1;2;No critico;Bloque 668
318;T0318;Dec 3  2022 @ 03:07:28.726;RH00001;auditbeat;192.168.109.129;16;55056;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:13.911;charlyhost;15.9KB;27090;35.193.143.25;1;Critico;Bloque 163
319;T0319;Dec 3  2022 @ 03:07:28.726;RH00001;auditbeat;192.168.109.129;1;51259;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:23.174;charlyhost;326B;789;192.168.109.2;1;Critico;Bloque 164
320;T0320;Dec 3  2022 @ 03:07:28.726;RH00001;auditbeat;127.0.0.1;1;35264;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:22.834;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 165
321;T0321;Dec 3  2022 @ 03:07:28.726;RH00001;auditbeat;127.0.0.1;1;35262;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:22.834;charlyhost;80B;27090;127.0.0.1;1;Critico;Bloque 166
322;T0322;Dec 3  2022 @ 03:06:42.780;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27042;-;1;Critico;Bloque 167
323;T0323;Dec 3  2022 @ 03:06:25.727;RH00001;auditbeat;127.0.0.1;2;33364;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:55.535;charlyhost;508B;19341;127.0.0.53;1;Critico;Bloque 168
324;T0324;Dec 3  2022 @ 03:06:25.727;RH00001;auditbeat;127.0.0.1;2;57857;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:55.416;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 669
325;T0325;Dec 3  2022 @ 03:06:23.727;RH00001;auditbeat;192.168.109.129;2;43372;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:53.674;charlyhost;198B;19341;13.227.200.105;1;Critico;Bloque 169
326;T0326;Dec 3  2022 @ 03:06:23.727;RH00001;auditbeat;192.168.109.129;2;57816;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:52.673;charlyhost;198B;19341;152.199.24.163;1;Critico;Bloque 170
