n;ID;timestamp;agent.type;client.ip;client.packets;client.port;destination.port;host.ip;source.ip;event.start;host.name;network.bytes;process.pid;server.ip;destination.ip;Prioridad;Clasificacion;Bloque
174;T0174;Dec 3  2022 @ 03:07:46.728;RH00001;auditbeat;127.0.0.1;1;34180;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:40.904;charlyhost;80B;27132;127.0.0.1;1;Critico;Bloque 93
175;T0175;Dec 3  2022 @ 03:07:46.728;RH00001;auditbeat;192.168.109.129;1;60980;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:37.890;charlyhost;60B;27132;169.254.169.254;1;Critico;Bloque 94
176;T0176;Dec 3  2022 @ 03:07:44.727;RH00001;auditbeat;127.0.0.1;2;55992;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:13.835;charlyhost;771B;27090;127.0.0.53;2;No critico;Bloque 595
177;T0177;Dec 3  2022 @ 03:08:16.727;RH00001;auditbeat;127.0.0.1;2;52105;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:11.140;charlyhost;771B;27170;127.0.0.53;2;No critico;Bloque 596
178;T0178;Dec 3  2022 @ 03:08:16.727;RH00001;auditbeat;192.168.109.129;1;48195;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:11.180;charlyhost;287B;789;192.168.109.2;2;No critico;Bloque 597
179;T0179;Dec 3  2022 @ 03:08:16.727;RH00001;auditbeat;192.168.109.129;1;33496;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:11.142;charlyhost;325B;789;192.168.109.2;1;Critico;Bloque 95
180;T0180;Dec 3  2022 @ 03:08:16.727;RH00001;auditbeat;192.168.109.129;1;36060;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:11.142;charlyhost;402B;789;192.168.109.2;2;No critico;Bloque 598
181;T0181;Dec 3  2022 @ 03:08:15.727;RH00001;auditbeat;127.0.0.1;1;56486;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.140;charlyhost;80B;27170;127.0.0.1;2;No critico;Bloque 599
182;T0182;Dec 3  2022 @ 03:08:15.727;RH00001;auditbeat;127.0.0.1;1;56484;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.138;charlyhost;80B;27170;127.0.0.1;2;No critico;Bloque 600
183;T0183;Dec 3  2022 @ 03:08:15.727;RH00001;auditbeat;127.0.0.1;1;56460;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.136;charlyhost;80B;27170;127.0.0.1;2;No critico;Bloque 601
